age,gender,income,employment_status,credit_score,loan_amount,previous_defaults,education,loan_approved
60,Male,36700.0,Employed,689.0,18100.0,1,Bachelor,1
39,Female,26500.0,Employed,728.0,7100.0,2,Bachelor,0
38,Male,45100.0,Retired,847.0,64300.0,0,High School,1
51,Male,43800.0,Employed,637.0,39200.0,0,Bachelor,1
53,Male,18000.0,Self-Employed,720.0,7200.0,2,High School,0
67,Female,39500.0,Employed,706.0,12400.0,1,High School,0
38,Male,42600.0,Self-Employed,665.0,27800.0,0,Bachelor,1
59,Female,33200.0,Employed,671.0,20800.0,0,High School,1
36,Female,20700.0,Employed,743.0,18200.0,0,Master,1
36,Male,21000.0,Employed,671.0,21000.0,0,Master,1
67,Female,51900.0,Unemployed,660.0,30100.0,0,Bachelor,0
58,Male,58700.0,Employed,637.0,60200.0,0,PhD,1
61,Female,32100.0,Employed,552.0,9100.0,0,Bachelor,1
27,Female,48600.0,Self-Employed,759.0,15900.0,0,PhD,1
34,Female,31900.0,Employed,636.0,6100.0,1,PhD,0
63,Male,26200.0,Employed,785.0,17500.0,2,Master,0
45,Female,44700.0,Employed,787.0,48300.0,1,High School,0
52,Male,22600.0,Employed,850.0,24000.0,0,Bachelor,1
58,Male,103500.0,Employed,718.0,28700.0,0,Bachelor,1
42,Male,19600.0,Self-Employed,728.0,20100.0,0,High School,1
36,Female,46300.0,Employed,732.0,11700.0,0,Master,1
49,Female,43300.0,Unemployed,702.0,7200.0,1,Master,0
36,Male,41400.0,Employed,780.0,43100.0,0,Master,1
32,Male,84300.0,Employed,673.0,13800.0,0,Bachelor,1
37,Male,18000.0,Employed,727.0,16200.0,0,Bachelor,1
57,Female,49300.0,Employed,671.0,5600.0,0,Bachelor,1
47,Male,35000.0,Employed,569.0,12200.0,0,Bachelor,1
45,Female,53700.0,Self-Employed,743.0,19500.0,0,Bachelor,1
33,Male,41200.0,Self-Employed,446.0,22100.0,0,Bachelor,1
28,Female,38700.0,Employed,727.0,47300.0,0,High School,1
25,Male,21900.0,Employed,772.0,15500.0,1,Bachelor,0
32,Male,28700.0,Employed,730.0,16900.0,0,Bachelor,1
61,Male,192100.0,Self-Employed,613.0,44900.0,2,Bachelor,0
23,Female,54000.0,Employed,811.0,36500.0,2,Bachelor,0
55,Female,67900.0,Self-Employed,834.0,7700.0,0,High School,1
53,Male,33700.0,Employed,737.0,43000.0,0,Bachelor,1
42,Female,26200.0,Self-Employed,838.0,6900.0,0,Bachelor,1
64,Female,59200.0,Employed,850.0,23900.0,0,Master,1
29,Female,18000.0,Employed,625.0,28300.0,1,High School,0
61,Female,29000.0,Unemployed,603.0,20200.0,0,Bachelor,0
38,Male,33600.0,Self-Employed,743.0,14400.0,0,Master,1
49,Male,64400.0,Employed,413.0,13800.0,0,High School,1
59,Female,49400.0,Employed,661.0,4100.0,0,Bachelor,1
47,Female,31700.0,Employed,624.0,19700.0,0,Bachelor,1
56,Female,48300.0,Employed,664.0,18400.0,2,Bachelor,0
65,Male,34500.0,Employed,576.0,44500.0,0,Bachelor,0
37,Male,68500.0,Employed,667.0,15300.0,0,Master,1
54,Female,45200.0,Retired,732.0,13100.0,0,High School,1
66,Female,95600.0,Employed,827.0,13300.0,0,High School,1
23,Female,34900.0,Employed,720.0,10900.0,0,High School,1
25,Female,74100.0,Employed,529.0,13700.0,2,Bachelor,0
34,Female,42000.0,Employed,686.0,9700.0,0,Bachelor,1
23,Male,28300.0,Employed,801.0,26100.0,0,High School,1
43,Male,147400.0,Employed,662.0,22900.0,0,Master,1
59,Female,77300.0,Employed,738.0,7500.0,0,Bachelor,1
50,Female,45100.0,Retired,783.0,19100.0,0,High School,1
65,Male,58900.0,Retired,695.0,35200.0,0,High School,1
43,Male,23400.0,Employed,711.0,34000.0,0,High School,0
47,Female,23800.0,Employed,730.0,9700.0,2,Bachelor,0
30,Male,70100.0,Self-Employed,645.0,40100.0,0,High School,1
45,Male,40200.0,Employed,663.0,13100.0,0,Bachelor,1
33,Female,37100.0,Self-Employed,605.0,18300.0,0,Bachelor,1
36,Female,34800.0,Self-Employed,639.0,14600.0,0,PhD,1
61,Female,43300.0,Employed,749.0,8800.0,3,Master,0
54,Male,35300.0,Employed,726.0,11300.0,0,High School,1
57,Female,18000.0,Unemployed,584.0,38100.0,0,Bachelor,0
42,Male,81500.0,Unemployed,599.0,38700.0,1,High School,0
37,Male,38000.0,Self-Employed,630.0,27100.0,0,Bachelor,1
43,Female,100300.0,Employed,560.0,15800.0,0,Bachelor,1
56,Female,18000.0,Self-Employed,702.0,53100.0,0,Bachelor,0
29,Female,18000.0,Employed,627.0,32600.0,1,Bachelor,0
22,Female,35000.0,Employed,724.0,16800.0,2,Master,0
52,Female,65400.0,Employed,766.0,5600.0,0,Master,1
42,Male,21800.0,Retired,538.0,30200.0,0,High School,0
63,Male,21400.0,Self-Employed,627.0,38000.0,0,Bachelor,0
33,Male,48300.0,Self-Employed,549.0,23300.0,0,PhD,1
28,Male,34300.0,Employed,524.0,5700.0,0,Bachelor,1
21,Female,52700.0,Employed,726.0,20300.0,0,Bachelor,1
37,Male,34600.0,Self-Employed,698.0,66500.0,0,PhD,0
32,Female,48700.0,Employed,632.0,16400.0,1,High School,0
24,Female,79500.0,Self-Employed,599.0,58600.0,0,High School,1
33,Female,21800.0,Employed,588.0,27500.0,0,Bachelor,0
51,Male,72600.0,Self-Employed,695.0,18600.0,0,Bachelor,1
61,Female,18000.0,Self-Employed,660.0,41800.0,0,High School,0
27,Male,54400.0,Employed,604.0,12500.0,0,Bachelor,1
43,Male,81600.0,Employed,715.0,8600.0,1,High School,1
44,Female,30900.0,Employed,704.0,8700.0,0,Bachelor,1
25,Male,55400.0,Unemployed,597.0,20400.0,0,High School,1
25,Male,31500.0,Employed,640.0,23600.0,0,High School,1
37,Female,53800.0,Self-Employed,753.0,12000.0,0,Bachelor,1
50,Male,18000.0,Employed,744.0,37500.0,0,High School,0
29,Female,43500.0,Self-Employed,624.0,19000.0,2,Bachelor,0
26,Female,48900.0,Employed,821.0,29700.0,0,Bachelor,1
45,Female,78600.0,Employed,665.0,12000.0,0,Bachelor,1
39,Male,63700.0,Retired,747.0,16200.0,0,Bachelor,1
36,Male,37000.0,Employed,591.0,6300.0,1,High School,1
41,Female,45900.0,Employed,667.0,15200.0,0,Bachelor,1
22,Male,19500.0,Employed,602.0,20600.0,0,Master,1
30,Female,91300.0,Employed,539.0,12900.0,0,High School,1
36,Female,56700.0,Employed,676.0,17400.0,0,PhD,1
57,Female,18000.0,Employed,652.0,20800.0,0,High School,0
35,Male,45400.0,Self-Employed,771.0,13100.0,0,High School,1
33,Male,47200.0,Employed,631.0,15400.0,0,High School,1
33,Female,27300.0,Employed,703.0,11600.0,0,Bachelor,1
52,Male,42100.0,Employed,646.0,10300.0,0,High School,1
65,Male,25900.0,Self-Employed,597.0,37700.0,0,Bachelor,0
67,Female,19900.0,Employed,749.0,7600.0,2,Master,0
66,Female,29500.0,Retired,628.0,30100.0,2,Bachelor,0
28,Female,43700.0,Employed,643.0,8000.0,0,Master,1
63,Female,63800.0,Employed,579.0,44700.0,0,High School,1
38,Male,41600.0,Employed,536.0,25500.0,0,Master,1
56,Female,64200.0,Employed,719.0,14400.0,0,Master,1
46,Female,55500.0,Self-Employed,672.0,31800.0,0,High School,1
30,Male,23900.0,Employed,758.0,34600.0,0,Bachelor,1
51,Male,55300.0,Employed,723.0,25500.0,4,High School,0
53,Female,56100.0,Employed,574.0,24000.0,0,High School,1
49,Female,95900.0,Employed,680.0,20600.0,0,Bachelor,1
25,Female,49300.0,Self-Employed,677.0,42200.0,0,Bachelor,1
33,Female,21600.0,Employed,766.0,17800.0,0,Bachelor,1
21,Male,30400.0,Employed,785.0,19400.0,0,Bachelor,1
43,Male,18000.0,Employed,533.0,30300.0,0,High School,0
60,Female,51800.0,Employed,773.0,14900.0,0,Bachelor,1
23,Female,91800.0,Self-Employed,762.0,34900.0,2,High School,0
23,Female,18000.0,Self-Employed,611.0,30800.0,0,High School,0
27,Female,93700.0,Employed,676.0,99500.0,0,High School,1
56,Male,51500.0,Employed,501.0,16700.0,0,Bachelor,1
55,Male,23400.0,Employed,676.0,25800.0,0,High School,1
35,Female,45600.0,Unemployed,591.0,23900.0,1,High School,0
60,Female,23800.0,Employed,724.0,29300.0,0,High School,0
23,Female,50000.0,Employed,715.0,17300.0,0,Bachelor,1
49,Female,41400.0,Employed,672.0,23800.0,0,High School,1
50,Female,47300.0,Employed,697.0,19700.0,0,High School,1
59,Male,25300.0,Employed,613.0,30200.0,1,High School,0
38,Male,27300.0,Employed,584.0,5700.0,0,Bachelor,1
31,Male,51600.0,Employed,850.0,15600.0,0,Bachelor,1
63,Female,31200.0,Employed,767.0,64400.0,2,High School,0
58,Male,43200.0,Employed,691.0,45500.0,0,Bachelor,1
60,Male,50300.0,Employed,662.0,21600.0,0,Bachelor,1
21,Female,35900.0,Employed,850.0,25700.0,0,Bachelor,1
49,Male,71500.0,Self-Employed,822.0,24600.0,2,Bachelor,0
30,Female,36600.0,Employed,656.0,26300.0,0,Bachelor,1
48,Male,36000.0,Unemployed,597.0,10700.0,0,Bachelor,1
51,Male,29300.0,Employed,684.0,12100.0,0,Bachelor,1
39,Female,67500.0,Employed,648.0,12200.0,1,Bachelor,1
23,Male,28200.0,Self-Employed,599.0,13800.0,1,Master,0
56,Male,75200.0,Self-Employed,797.0,46400.0,0,Bachelor,1
63,Female,43500.0,Employed,725.0,9000.0,2,Bachelor,0
35,Female,153400.0,Unemployed,645.0,58600.0,0,Master,1
53,Male,28800.0,Employed,644.0,23000.0,0,Bachelor,1
61,Female,75900.0,Employed,681.0,9000.0,0,Master,1
63,Male,51800.0,Employed,639.0,12800.0,0,PhD,1
65,Male,31000.0,Employed,631.0,23500.0,0,Bachelor,1
46,Female,52100.0,Employed,850.0,8300.0,2,Bachelor,0
36,Female,50900.0,Employed,602.0,14600.0,0,Master,1
56,Female,34000.0,Employed,492.0,9100.0,1,Bachelor,0
53,Female,49700.0,Employed,736.0,26400.0,0,Bachelor,1
40,Female,71800.0,Retired,775.0,9200.0,1,Master,1
33,Male,51800.0,Employed,693.0,7300.0,0,Bachelor,1
53,Male,32500.0,Employed,543.0,43400.0,0,Bachelor,0
25,Female,31600.0,Self-Employed,668.0,15000.0,0,High School,1
57,Male,38400.0,Employed,637.0,14200.0,0,Bachelor,1
34,Male,70000.0,Employed,794.0,23900.0,2,Master,0
47,Male,27500.0,Employed,608.0,17700.0,0,Bachelor,1
43,Male,48800.0,Employed,700.0,11000.0,0,Master,1
34,Female,18400.0,Unemployed,731.0,12500.0,0,Bachelor,0
60,Female,54000.0,Employed,607.0,27800.0,1,High School,0
24,Female,58400.0,Employed,629.0,10100.0,0,Bachelor,1
59,Male,110600.0,Employed,717.0,17600.0,0,High School,1
39,Male,63700.0,Employed,408.0,49100.0,2,High School,0
67,Male,32800.0,Employed,796.0,15100.0,2,High School,0
24,Male,18600.0,Employed,594.0,37800.0,1,Bachelor,0
50,Female,51900.0,Self-Employed,684.0,9800.0,0,Master,1
39,Female,34100.0,Self-Employed,565.0,20100.0,0,High School,1
51,Female,47400.0,Employed,792.0,38100.0,0,High School,1
51,Male,28000.0,Employed,680.0,12800.0,1,PhD,1
29,Female,36800.0,Retired,698.0,57000.0,1,Master,0
33,Female,18000.0,Employed,728.0,17500.0,0,Master,1
34,Female,23800.0,Retired,773.0,9000.0,0,High School,1
66,Female,22200.0,Self-Employed,585.0,32900.0,0,Bachelor,0
30,Male,62100.0,Unemployed,657.0,46700.0,1,High School,0
51,Male,26500.0,Employed,787.0,8500.0,0,Bachelor,1
57,Male,79900.0,Employed,643.0,23500.0,0,Bachelor,1
43,Female,26700.0,Employed,796.0,12000.0,0,Bachelor,1
47,Male,114500.0,Self-Employed,698.0,9800.0,1,Bachelor,1
26,Male,18000.0,Employed,644.0,10600.0,0,Master,1
46,Male,49600.0,Self-Employed,739.0,20500.0,2,High School,0
22,Male,40900.0,Employed,667.0,39200.0,0,High School,1
65,Female,21900.0,Employed,752.0,17400.0,0,Master,1
33,Female,30500.0,Self-Employed,639.0,23200.0,0,Bachelor,1
39,Male,35200.0,Employed,753.0,12900.0,4,High School,0
21,Male,45500.0,Employed,717.0,16700.0,0,High School,1
60,Male,25100.0,Employed,651.0,10700.0,0,Bachelor,1
52,Male,49600.0,Employed,525.0,6100.0,0,Bachelor,1
42,Male,42600.0,Employed,721.0,13300.0,0,High School,1
49,Male,59300.0,Employed,771.0,35500.0,0,Master,1
22,Male,26100.0,Employed,696.0,4000.0,0,Bachelor,1
60,Female,32700.0,Self-Employed,489.0,34900.0,0,Master,0
58,Female,82500.0,Unemployed,777.0,22000.0,0,Bachelor,1
31,Male,25500.0,Employed,714.0,16600.0,0,High School,1
37,Male,20000.0,Employed,733.0,13200.0,1,Master,0
63,Female,29300.0,Employed,673.0,24000.0,0,High School,1
28,Male,18000.0,Self-Employed,516.0,41700.0,0,Bachelor,0
42,Female,92600.0,Employed,729.0,21100.0,0,Bachelor,1
24,Female,34800.0,Retired,661.0,15900.0,0,Bachelor,1
31,Male,35000.0,Employed,618.0,91100.0,0,High School,0
28,Male,58200.0,Self-Employed,828.0,19000.0,0,Bachelor,1
29,Female,27900.0,Employed,730.0,6700.0,1,High School,1
46,Male,36000.0,Unemployed,699.0,22000.0,0,Bachelor,0
22,Female,27600.0,Employed,607.0,12700.0,0,PhD,1
36,Female,18000.0,Employed,596.0,14600.0,0,High School,1
51,Female,41200.0,Employed,723.0,38800.0,0,Master,1
26,Male,67000.0,Self-Employed,510.0,30500.0,0,Bachelor,1
41,Female,41800.0,Employed,727.0,6300.0,0,High School,1
46,Male,63600.0,Employed,732.0,6400.0,1,Bachelor,1
39,Female,23200.0,Employed,797.0,19600.0,0,Bachelor,1
48,Female,27500.0,Employed,763.0,32300.0,0,Bachelor,1
28,Male,21000.0,Employed,777.0,4700.0,1,High School,1
34,Female,48200.0,Retired,629.0,32500.0,0,Bachelor,1
44,Female,34200.0,Employed,555.0,79200.0,0,Bachelor,0
64,Male,33600.0,Employed,695.0,36700.0,0,Master,1
57,Male,56100.0,Employed,718.0,11200.0,2,Master,0
46,Male,31700.0,Self-Employed,766.0,26500.0,0,High School,1
51,Male,68900.0,Unemployed,806.0,20700.0,1,High School,0
52,Male,45200.0,Employed,581.0,52500.0,0,PhD,1
61,Female,33400.0,Employed,753.0,35600.0,0,High School,1
22,Male,18500.0,Employed,489.0,10500.0,0,High School,1
45,Male,55900.0,Employed,703.0,25600.0,0,Master,1
64,Female,46200.0,Employed,739.0,11000.0,0,Bachelor,1
22,Male,47400.0,Employed,550.0,33600.0,0,High School,1
62,Female,48100.0,Employed,733.0,15500.0,0,High School,1
21,Male,30800.0,Employed,589.0,17600.0,0,High School,1
56,Male,37200.0,Employed,647.0,20000.0,0,High School,1
32,Female,31900.0,Retired,753.0,13000.0,1,Bachelor,0
29,Female,75000.0,Employed,653.0,19200.0,0,High School,1
56,Female,35000.0,Employed,652.0,23700.0,2,High School,0
61,Female,29400.0,Self-Employed,707.0,15200.0,0,Master,1
48,Female,77600.0,Employed,748.0,20600.0,1,Master,1
58,Male,73500.0,Employed,680.0,11500.0,0,Master,1
53,Male,45200.0,Self-Employed,814.0,8600.0,0,Bachelor,1
62,Female,37600.0,Employed,651.0,17700.0,0,Bachelor,1
66,Female,33200.0,Employed,785.0,33200.0,0,High School,1
42,Female,39300.0,Employed,725.0,32600.0,0,Bachelor,1
45,Male,25900.0,Employed,737.0,31400.0,0,High School,1
38,Male,51100.0,Employed,581.0,33100.0,0,PhD,1
26,Female,91700.0,Self-Employed,783.0,20100.0,0,Bachelor,1
38,Male,53200.0,Employed,690.0,13000.0,0,PhD,1
36,Female,23100.0,Unemployed,850.0,15400.0,0,High School,0
35,Female,50400.0,Self-Employed,702.0,16800.0,1,Bachelor,0
28,Male,44200.0,Employed,678.0,12200.0,0,Bachelor,1
33,Female,50200.0,Employed,636.0,25700.0,1,High School,0
63,Female,26600.0,Self-Employed,680.0,12500.0,2,Bachelor,0
27,Male,40200.0,Employed,800.0,5900.0,0,High School,1
37,Female,62400.0,Employed,747.0,34000.0,0,Bachelor,1
52,Male,23500.0,Employed,705.0,24500.0,1,Bachelor,0
42,Female,32100.0,Employed,753.0,6400.0,0,Bachelor,1
33,Male,34800.0,Employed,642.0,12200.0,1,Master,1
67,Female,66100.0,Employed,636.0,17000.0,0,High School,1
43,Male,71200.0,Employed,627.0,18000.0,0,High School,1
49,Male,18000.0,Employed,764.0,63800.0,0,Bachelor,0
42,Female,66100.0,Employed,772.0,10100.0,0,Master,1
21,Male,72400.0,Unemployed,612.0,9800.0,0,Master,1
49,Male,70100.0,Employed,623.0,38700.0,0,Bachelor,1
25,Female,30800.0,Employed,668.0,16200.0,0,Master,1
55,Female,35800.0,Employed,593.0,36500.0,0,High School,0
30,Female,18300.0,Employed,700.0,15400.0,0,High School,1
39,Female,18000.0,Employed,802.0,37500.0,0,Master,0
57,Male,33500.0,Retired,711.0,15300.0,1,Master,0
27,Male,41700.0,Employed,767.0,16700.0,1,High School,1
66,Male,43800.0,Retired,568.0,9700.0,1,High School,0
55,Female,60500.0,Self-Employed,637.0,50900.0,0,Master,1
65,Female,185500.0,Employed,519.0,11500.0,0,High School,1
33,Female,32900.0,Employed,675.0,8400.0,2,Master,0
30,Female,23700.0,Self-Employed,850.0,47700.0,0,Bachelor,0
22,Male,52700.0,Employed,831.0,26800.0,0,Bachelor,1
26,Male,44900.0,Employed,713.0,46700.0,0,Bachelor,1
28,Male,30100.0,Employed,687.0,11800.0,1,Bachelor,1
56,Female,63300.0,Employed,721.0,25900.0,0,High School,1
45,Male,26700.0,Self-Employed,580.0,41800.0,0,High School,0
64,Female,37600.0,Employed,701.0,9100.0,1,Bachelor,1
67,Male,38700.0,Retired,498.0,21900.0,0,Bachelor,1
60,Male,25000.0,Employed,463.0,13700.0,1,Bachelor,0
27,Male,18000.0,Self-Employed,651.0,14200.0,0,High School,1
66,Female,44800.0,Employed,850.0,11000.0,0,Bachelor,1
43,Female,79600.0,Employed,822.0,23300.0,0,High School,1
39,Male,64900.0,Unemployed,777.0,15600.0,0,High School,1
